ID,Latin_Name,Common_Name,Plant_Type,Bloom_Time,Size_at_Maturity,Suitable_Site_Conditions,Soil_Type,Water_Needs,Appropriate_Location,Additional_Characteristices_Notes,Humidity_Level_Min,Humidity_Level_Max,Temperature_Level_Min,Temperature_Level_Max,Water_Level_Min,Water_Level_Max,Light_Level_Min,Light_Level_Max
123,Erysimum franciscanum,San Francisco Wallflower,Perennial,Spring,1-3 ft,Sun,Loam;Sand;Clay;Rock,None,Garden,CNPS Rare Plant,0,93,9,21,0,0,500,800
124,Escallonia bifida,White Escallonia,Perennial,Summer,7-12 ft,Sun,Loam,Low,Garden,,3,63,19,29,100,350,500,800
125,Eschscholzia californica,California Poppy,Perennial,Spring;Summer,1-3 ft,Sun,Clay;Loam;Sand;Rock,None,Garden;Sidewalk;Roof,"Coastal form is smaller and more yellow, large orange form is native inland.",24,99,9,32,0,0,500,800
126,Adenanthos spp.,Woolly Bush,Shrub (evergreen),,varies,Sun;Part Shade,,Low,Garden,,8,100,15,38,100,350,350,800
127,Eucalyptus polyanthemos,Silver Dollar Gum,Tree (evergreen),Summer;Fall,> 24 ft,Sun,,Low,Sidewalk,"Needs a large basin, fast grower, high maintenance.",10,88,15,35,100,350,500,800
128,Festuca idahoensis,Idaho Fescue,Grass,Summer,< 1 ft,Sun;Part Shade,Clay;Loam;Sand;Rock,None,Garden;Sidewalk;Roof,,12,95,16,30,0,0,350,800
129,Festuca rubra,Red Fescue,Grass,Spring,< 1 ft,Sun;Part Shade,Clay;Loam;Sand,None,Garden;Sidewalk;Roof,,29,61,17,24,0,0,350,800
130,Festuca rubra 'Point Molate',Molate Fescue,Grass,Spring,1-3 ft,Sun;Part Shade,Clay;Loam;Sand,None,Garden;Roof,,11,95,20,27,0,0,350,800
131,Fragaria chiloensis,Coast Strawberry,Perennial,Winter,< 1 ft,Sun;Part Shade,Clay;Loam;Sand;Rock,None,Garden;Sidewalk;Roof,Endures wind well. Attracts Green Hairstreak (Callophrys viridis) butterfly.,18,88,11,21,0,0,350,800
132,Fragaria vesca,Woodland Strawberry,Perennial,Spring;Winter,< 1 ft,Part Shade;Shade,Clay;Loam,Low,Garden;Sidewalk;Roof,,27,79,16,29,100,350,0,350
133,Frangula californica,Coffeeberry,Shrub (evergreen),Summer,7-12 ft,Sun;Part Shade,Clay;Loam;Sand;Rock,None,Garden,Attracts Pale Tiger Swallowtail (Papilio eurymedon) and White-Crowned Sparrow.,7,99,13,24,0,0,350,800
134,Frankenia salina,Alkali-heath,Perennial,Spring;Summer,1-3 ft,Sun;Part Shade,Clay;Loam;Sand,Moderate,Garden,,11,60,20,30,350,600,350,800
135,Fraxinus latifolia,Oregon Ash,Tree (deciduous),Spring,> 24 ft,Sun;Part Shade,Clay;Loam;Sand,Low,Garden,Attracts Pale Swallowtail (Papilio eurymedon) and Western Tiger Swallowtail (Papilio rutulus).,16,80,14,35,100,350,350,800
136,Fremontodendron 'California Glory',Flannel Bush,Shrub (evergreen),Spring,4-6 ft,Sun;Part Shade,Clay;Loam;Sand,None,Garden,,26,88,15,32,0,0,350,800
137,Gaillardia x grandiflora,Gaillardia (Blanket Flower),Perennial,Summer,1-3 ft,Sun,Clay;Loam;Sand,Low,Garden,,22,91,19,38,100,350,500,800
138,Galvezia speciosa,Island Bush Snapdragon,Perennial,Spring,4-6 ft,Sun;Part Shade,Clay;Sand,None,Sidewalk;Garden,Intermittent bloom throughout the year.,5,80,9,39,0,0,350,800
139,Garrya elliptica,Coast Silktassel,Shrub (evergreen),Winter,13-24 ft,Sun;Shade,clay;loam,Low,Sidewalk,"Beautiful plant that gets large, is wind pollinated, and could be trained into a single stem tree.",12,69,17,33,100,350,0,750
140,Geijera parviflora,Australian Willow,Tree (evergreen),Spring,> 24 ft,Sun,Loam;Sand,Moderate,Sidewalk,"Prefers heat, wind protection.",3,96,19,27,350,600,500,800
141,Gilia capitata ssp. Chamissonis,Dune Gilia,Annual,Spring;Summer,1-3 ft,Sun,Clay;Loam;Sand,None,Garden,,16,71,13,32,0,0,500,800
142,Gilia tricolor ssp. Tricolor,Bird's Eye Gilia,Annual,Summer,< 1 ft,Sun;Part Shade,Clay;Loam,Low,Garden,,18,52,14,29,100,350,350,800
143,Ginkgo biloba 'Autumn Gold',Maidenhair Tree,Tree (deciduous),Spring,> 24 ft,Sun,Clay;Loam;Sand,Low,Sidewalk,"Slow grower. 'Princeton Sentry', 'Saratoga' another variety.",16,98,10,25,100,350,500,800
144,Glaux maritima,Sea milkwort,Perennial,Spring,1-3 ft,Sun,Clay;Loam;Sand,Moderate,Garden,,24,58,14,37,350,600,500,800
145,Artemisia tridentata,Big Sagebrush,Shrub (evergreen),Summer,4-6 ft,Sun,Sand;Loam,None,Garden,,3,72,18,30,0,0,500,800
146,Banksia spp.,Banksia,Shrub (evergreen),,13-24 ft,Sun,,Low,Garden,,15,54,9,38,100,350,500,800
147,Calliandra eriophylla,"	Fairy Dustre",Shrub (evergreen),Spring;Winter,4-6 ft,Sun,Sand;Loam,None,Garden,,29,93,12,29,0,0,500,800
148,Ceanothus spp.,California Lilac,Shrub (evergreen),,varies,Sun,,Low,Garden,,21,95,16,36,100,350,500,800
149,Grindelia hirsutula,San Francisco Gumplant,Perennial,Summer,1-3 ft,Sun;Part Shade,Clay;Rock,None,Garden;Sidewalk;Roof,"CNPS Rare Plant. Tough plant, easy to grow, self seeding. Attracts Common Buckeye (Junonia coenia) butterfly.",30,55,16,33,0,0,350,800
150,Grindelia stricta,Coastal Gumplant,Perennial,Spring;Summer;Fall,< 1 ft,Sun;Part Shade,Clay;Loam;Sand,Low,Garden;Roof,,24,59,10,24,100,350,350,800
151,Helianthus gracilentus,Slender Sunflower,Perennial,Spring;Summer,4-6 ft,Sun,Clay;Loam,Low,Garden,Attracts Red-Winged Blackbird and Monarch Butterfly (Danaus plexippus).,0,88,16,32,100,350,500,800
152,Heliotropium curassavicum,Wild Heliotrope,Perennial,Spring,< 1 ft,Sun;Part Shade,Loam;Sand,Low,Garden,,5,84,11,35,100,350,350,800
153,Heracleum maximum,Cow Parsnip,Perennial,Summer,7-12 ft,Part Shade,Loam;Sand,Low,Garden,,5,80,16,23,100,350,100,350
154,Heteromeles arbutifolia,Toyon,Shrub (evergreen),Summer,7-12 ft,Sun;Part Shade,Clay;Loam;Sand;Rock,None,Garden,"White flowers in summer, red berries in winter. Attracts Cedar Waxwing, Robins, and Purple Finches.",5,85,11,28,0,0,350,800
155,Origanum dictamnus,"Dittany of Crete, Hop Marjoram",Perennial,Summer,< 1 ft,Sun,Sand;Loam,None,Sidewalk;Garden,,6,59,10,35,0,0,500,800
156,Heterotheca sessiliflora ssp. Bolanderi,Bolander's Goldenaster,Perennial,Spring;Summer;Fall;Winter,1-3 ft,Sun,Clay;Rock,None,Garden,,4,53,10,32,0,0,500,800
157,Heuchera micrantha,Alum Root,Perennial,Spring;Summer,1-3 ft,Part shade;Shade,Clay;Loam,Moderate,Garden;Sidewalk;Roof,Prefers north facing cliff faces and cracks in the rock.,7,94,13,30,350,600,,
158,Holodiscus discolor,Cream Bush,Shrub (deciduous),Spring;Summer,7-12 ft,Sun;Part Shade;Shade,Clay;Loam,Low,Garden,"Attracts Spring Azure, Pale Swallowtail, and Lorquin’s Admiral butterflies.",19,61,17,25,100,350,0,800
159,Hordeum brachyantherum,Meadow Barley,Grass,Summer,1-3 ft,Sun;Part Shade,Clay;Loam,Low,Garden,,26,62,18,39,100,350,350,800
160,Horkelia californica,California Horkelia,Perennial,Spring,1-3 ft,Sun;Part Shade;Shade,Clay;Rock,None,Sidewalk;Garden,,18,57,20,21,0,0,0,800
161,Hosackia gracilis,Harlequin Lotus,Perennial,Spring;Summer,1-3 ft,Sun;Part Shade,Clay,Moderate,Garden,,7,100,15,39,350,600,350,800
162,Hymenosporum flavum,Sweetshade,Tree (evergreen),Summer,> 24 ft,Sun;Part Shade,,Low,Sidewalk,"Uneven performer, prefers heat, wind protection, good drainage.",6,87,20,39,100,350,350,800
163,Iris douglasiana,Douglas Iris,Perennial,Spring;Winter,1-3 ft,Sun;Part Shade,Clay;Loam,Low,Garden;Sidewalk;Roof,"Likes wind and fog, include longipella (likes warmer, calmer, drier).",13,55,18,23,100,350,350,800
164,Isolepis cernua,Low Bulrush,Annual,Spring;Summer,1-3 ft,Sun;Part Shade,Clay;Loam,Moderate,Garden,,2,88,11,27,350,600,350,800
165,Iva axillaris,Poverty-weed,Perennial,Spring;Summer,< 1 ft,Sun;Part Shade,Clay;Loam,Moderate,Garden,Desert plant.,7,94,13,20,350,600,350,800
166,Jacaranda mimosifolia,Jacaranda,Tree (evergreen),Spring;Summer,> 24 ft,Sun,,Low,Sidewalk,"Uneven performer, prefers heat, wind protection, good drainage.",23,54,11,21,100,350,500,800
167,Juncus balticus,Salt Rush,Perennial,Spring,1-3 ft,Sun;Part Shade,Clay;Loam;Sand,Moderate,Garden;Roof,"Creeping rush, runner not buncher.",22,77,12,26,350,600,350,800
168,Juncus bufonius,Toad Rush,Annual,Spring,< 1 ft,Sun;Part Shade,Clay;Loam;Sand,Moderate,Garden,Seedheads.,27,56,20,34,350,600,350,800
169,Juncus xiphioides,Iris-leaved Rush,Perennial,Spring;Summer,1-3 ft,Sun;Part Shade,Clay;Loam,Moderate,Garden,spreads well by runners.,28,97,12,30,350,600,350,800
170,Koeleria macrantha,June Grass,Grass,Spring,1-3 ft,Sun;Part Shade,clay;loam,None,Roof;Garden,Great bunchgrass.,,,,,0,0,350,800
171,Koelreuteria paniculata,Goldenrain Tree,Tree (deciduous),Summer,> 24 ft,Sun,,Low,Sidewalk,"Uneven performer, prefers heat, wind protection.",,,,,100,350,500,800
172,Lagunaria patersonii,Primrose Tree,Tree (evergreen),Spring;Summer,> 24 ft,Sun,Clay;Loam;Sand,Low,Sidewalk,Does well in windy areas.,,,,,100,350,500,800
173,Lasthenia californica,California Goldfields,Annual,Spring;Winter,< 1 ft,Sun,Clay;Loam;Rock,Low,Garden;Roof,,,,,,100,350,500,800
174,Lasthenia glaberrima,Smooth Goldfields,Annual,Spring,1-3 ft,Sun;Part Shade,Clay;Loam,Moderate,Garden,,,,,,350,600,350,800
175,Lasthenia glabrata,Yellow-rayed Goldfields,Annual,Spring;Winter,1-3 ft,Sun;Part Shade,clay;loam,Moderate,Garden,Attracts Checkerspot butterfly (endangered).,,,,,350,600,350,800
176,Laurus nobilis 'Saratoga',Sweet Bay,Tree (evergreen),Spring,13-24 ft,Sun;Part Shade,,Low,Sidewalk,"Uneven performer, prefers heat, wind protection, gets pests.",,,,,100,350,350,800
177,Lavandula spp.,Lavender,Shrub (evergreen),Spring;Summer;Fall;Winter,1-3 ft,Sun,Clay;Loam,None,Sidewalk;Garden,"Relatively short-lived, it will become leggy if not pruned after flowering.",,,,,0,0,500,800
178,Leptospermum laevigatum,Australian Tea Tree,Tree (evergreen),Spring,13-24 ft,Sun,,Low,Sidewalk,"Poor rooter, may need long-term or permanent staking.",,,,,100,350,500,800
179,Leptosyne calliopsidea,Leafy-stemmed Coreopsis,Annual,Spring;Winter,1-3 ft,Sun;Part Shade,Clay;Loam,Low,Garden,,,,,,100,350,350,800
180,Limonium californicum,Sea Lavender,Perennial,Summer,1-3 ft,Sun;Part Shade,Clay;Loam;Sand,Moderate,Sidewalk;Garden,,,,,,350,600,350,800
181,Liquidambar styraciflua,American Sweetgum,Tree (deciduous),Spring,> 24 ft,Sun;Part Shade,Clay;Loam;Sand,Moderate,Sidewalk,Needs a very large basin for canopy and roots,,,,,350,600,350,800
182,Liriodendron tulipifera,Tulip Tree,Tree (deciduous),Spring,> 24 ft,Sun,,Low,Sidewalk,Uneven performer.,,,,,100,350,500,800
183,Lomatium californicum,California Celery,Perennial,Spring,1-3 ft,Part Shade;Shade,Clay;Loam,Low,Garden,Dry grower. Attracts Anise Swallowtail (Papilio Zelicaon) butterfly.,,,,,100,350,0,350
184,Lonicera involucrata,Twinberry Honeysuckle,Shrub (deciduous),Summer,7-12 ft,Sun;Part Shade,Loam;Clay,Low,Garden,"Not wind tolerant, but grows in many habitats. Attracts Cedar Waxwing and  Red Admiral.",,,,,100,350,350,800
185,Lophostemon confertus,Brisbane Box,Tree (evergreen),Spring;Summer,> 24 ft,Sun,,Low,Sidewalk,,,,,,100,350,500,800
186,Lupinus albifrons,Silver Lupine,Perennial,Spring;Summer,4-6 ft,Sun,Clay;Loam;Sand;Rock,None,Garden;Sidewalk;Roof,Host to the endangered Mission Blue Butterfly.,,,,,0,0,500,800
187,Passiflora caerulea,Passion Vine,Vine,Spring;summer,> 24 ft,Sun;Part Shade,Sand;Loam,None,Sidewalk;Garden,,,,,,0,0,350,800
188,Lupinus arboreus,Yellow Bush Lupine,Shrub (evergreen),Spring,4-6 ft,Sun;Part Shade,Clay;Loam;Sand;Rock,None,Garden,"Only plant in western sandy areas.  Grows fast, then dies out fast.  Lupines should be planted as plants – unpredictable germination.",,,,,0,0,350,800
189,Lupinus bicolor,Miniature Lupine,Annual,Spring,1-3 ft,Sun;Part Shade,Clay;Loam;Sand,None,Garden;Roof,Plant to the east of sunset.,,,,,0,0,350,800
190,Lupinus chamissonis,Silver Dune Lupine,Shrub (evergreen),Spring,4-6 ft,Sun,Sand,None,Garden,,,,,,0,0,500,800
191,Lupinus variicolor,Varied Lupine,Perennial,Spring;Summer,1-3 ft,Sun,Loam;Sand,None,Garden;Sidewalk;Roof,Plant to the east of sunset.,,,,,0,0,500,800
192,Lyonothamnus floribundus ssp. Asplenifolius,Catalina Ironwood,Tree (evergreen),Spring;Summer,> 24 ft,Sun,Clay;Loam,Low,Sidewalk,"Prefers heat, wind protection.",,,,,100,350,500,800
193,Lythrum californicum,Common loosestrife,Perennial,Spring;Summer,4-6 ft,Sun;Part Shade,Loam,Low,Garden,,,,,,100,350,350,800
194,Madia sativa,Common Tarweed,Annual,Summer,4-6 ft,Sun,Clay;Sand,None,Garden,Attracts Western Meadowlark bird.,,,,,0,0,500,800
195,Magnolia  doltsopa,Sweet Michelia,Tree (evergreen),Spring,13-24 ft,Sun;Part Shade,,Low,Sidewalk,"Formerly Michelia doltsopa; uneven performer, grows very slowly, prefers heat, wind protection.",,,,,100,350,350,800
196,Magnolia champaca,Golden Champaca,Tree (evergreen),Spring;Summer,13-24 ft,Sun;Part Shade,,Low,Sidewalk,"Formerly Michelia champaca; needs wind protection, wide sidewalk, gets powdery mildew and very slow grower.",,,,,100,350,350,800
197,Magnolia grandiflora 'Little Gem',Little Gem Magnolia,Tree (evergreen),Summer;Fall,13-24 ft,Sun,,Low,Sidewalk,,,,,,100,350,500,800
198,"Magnolia grandiflora 'Majestic Beauty', 'Samuel Sommer'",Majestic Beauty/Samuel Sommer Southern Magnolia,Tree (evergreen),,> 24 ft,,,Low,Sidewalk,,,,,,100,350,,
199,Magnolia grandiflora 'St. Mary',St. Mary Magnolia,Tree (evergreen),Summer;Fall,> 24 ft,Sun,,Low,Sidewalk,,,,,,100,350,500,800
200,Mahonia repens,Creeping Mahonia,Shrub (evergreen),Spring;Summer,1-3 ft,Sun;Part Shade,Clay;Loam;Sand,Low,Sidewalk;Garden,,,,,,100,350,350,800
201,Dasylirion wheeleri,Desert Spoon,succulent,Summer,4-6 ft,Sun,,None,Garden,,,,,,0,0,500,800
202,Malva assurgentiflora,"Malva Rosa, Island Mallow",Shrub (evergreen),Spring;Summer;Winter,7-12 ft,Part Shade,Clay;Loam;Sand,Low,Garden,Attracts Grey Hairstreak (Strymon melinus) and Painted Lady (Vanessa cardui) butterflies.,,,,,100,350,100,350
203,Arctostaphylos spp.,Manzanita,Shrub (evergreen),,varies,Sun,,Low,Garden,,,,,,100,350,500,800
204,Artemisia spp.,California Sagebrush,Shrub (evergreen),,4-6 ft,Sun,,None,Garden,,,,,,0,0,500,800
205,Marah fabacea,Wild Cucumber/Manroot,Vine,Spring,13-24 ft,Sun;Part Shade,Clay;Loam;Sand,None,Garden,Attracts Scrub Jays.,,,,,0,0,350,800
206,Marah oregana,Coast Manroot,Vine,Spring,13-24 ft,Part shade;Shade,Clay;Loam;Sand,Low,Garden,Only one specimen in SF in John McLaren Park.,,,,,100,350,,
207,Cotinus spp.,Smoke Bush,Shrub (evergreen),,7-12 ft,Sun,,Low,Garden,,,,,,100,350,500,800
208,Melaleuca quinquenervia,Cajeput Tree,Tree (evergreen),Summer;Fall,> 24 ft,Sun,Clay;Loam;Sand,Low,Sidewalk,"Grows fast, dense, irregular form, prefers wind protection.",,,,,100,350,500,800
209,Melaleuca styphelioides,Prickly Melaleuca,Tree (evergreen),Spring;Summer,> 24 ft,Sun,Clay;Loam;Sand,Low,Sidewalk,"Can root poorly, and prickly leaves.",,,,,100,350,500,800
210,Melica californica,California Melic ,Grass,Summer,1-3 ft,Sun;Part Shade,Clay;Loam,None,Garden,"Requires moisture in growing season, then wants to be dry after flowering.",,,,,0,0,350,800
211,Melica torreyana,Torrey melic,Grass,Spring,1-3 ft,Sun;Part Shade,Clay;Loam;Rock,Low,Sidewalk;Garden,Best in rocky outcrops.,,,,,100,350,350,800
212,Metrosideros excelsa,New Zealand Christmas tree,Tree (evergreen),Spring;Summer;Fall;Winter,> 24 ft,Sun,Loam;Sand,Low,Sidewalk,Endures wind well and is a common SF street tree.,,,,,100,350,500,800
213,Mimulus aurantiacus,Sticky Monkeyflower,Shrub (evergreen),Spring;Summer,1-3 ft,Sun;Part Shade,Clay;Loam;Sand;Rock,None,Garden;Roof,"Plant in dry areas, endures wind well. Attracts Nutall's White-crowned Sparrow, Buckeye (Junonia coenia) and Variable Checkerspot (Euphydras chalcedona) butterflies, and Anna's Hummingbird.",,,,,0,0,350,800
214,Dodonaea viscosa,Hopseed Bush,Shrub (evergreen),,7-12 ft,Sun,,Low,Garden,,,,,,100,350,500,800
215,Monardella villosa,Coyote Mint,Perennial,Summer,1-3 ft,Sun;Part Shade,Clay;Loam,None,Garden;Roof,Prefer dry areas. Attracts Western Fence Lizard.,,,,,0,0,350,800
216,Morella californica,"California Wax Myrtle, Pacific Bayberry",Shrub (evergreen),Summer,13-24 ft,Sun;Part Shade,Clay;Loam;Sand,Moderate,Garden,Endures wind well. May grow as a single trunk standard tree.,,,,,350,600,350,800
217,Muhlenbergia rigens,Deer Grass,Grass,Spring,1-3 ft,Sun;Part Shade,Clay;Loam,Low,Garden;Roof,,,,,,100,350,350,800
218,Nepeta racemosa,Cat Mint,Perennial,Summer,< 1 ft,Sun,Clay;Loam;Sand,Low,Sidewalk;Garden,,,,,,100,350,500,800
219,Oenanthe sarmentosa,"Ditch-carrot, Water Parsley",Perennial,Spring;Summer,1-3 ft,Sun;Part Shade,Clay;Loam,Moderate,Garden,Wet grower.,,,,,350,600,350,800
220,Oenothera elata ssp. hookeri,Hooker's Evening Primrose,Perennial,Summer,4-6 ft,Sun,Loam;Sand;Clay,None,Garden;Sidewalk;Roof,"Resilient, gets weedy, self sows. Attracts Western fence lizard and Goldfinch.",,,,,0,0,500,800
221,Olea europaea,Olive Tree,Tree (evergreen),,> 24 ft,Sun,,None,Sidewalk,"Needs a very large basin, prefers wind protection.",,,,,0,0,500,800
222,Penstemon centranthifolius,Scarlet Bugler,Perennial,Spring;Summer,1-3 ft,Sun,Clay,Low,Garden,,,,,,100,350,500,800
223,Penstemon heterophyllus,Penstemon,Perennial,Summer,1-3 ft,Sun;Part Shade,Clay,Low,Garden;Sidewalk;Roof,,,,,,100,350,350,800
224,Persicaria amphibia,Water Smartweed,Perennial,Summer;Fall,1-3 ft,Sun;Part Shade,Clay;Loam;Sand,Moderate,Garden,,,,,,350,600,350,800
225,Persicaria lapathifolia,Common Knotweed,Annual,Summer;Fall,1-3 ft,Sun;Part Shade,Clay;Loam,Moderate,Garden,,,,,,350,600,350,800
226,Persicaria punctata,Dotted Smartweed,Perennial,Summer;Fall,1-3 ft,Sun;Part Shade,Clay;Loam,Moderate,Garden,Wet grower.,,,,,350,600,350,800
227,Phacelia californica,California Phacelia,Perennial,Summer,1-3 ft,Sun,Clay;Loam,None,Garden;Roof,Attracts endangered Mission Blue butterfly.,,,,,0,0,500,800
228,Phacelia malvifolia,Stinging Phacelia,Annual,Spring;Summer,1-3 ft,Sun;Part Shade,Loam;Sand;Clay,None,Garden,,,,,,0,0,350,800
229,Phalaris californica,California Canarygrass,Grass,Spring,1-3 ft,Sun;Part Shade,Clay;Loam,Low,Garden,"Rare in SF, but present on San Bruno mountain. Attracks Woodland Skipper (Ochlodes sylvanoides) butterfly.",,,,,100,350,350,800
230,Echium candicans,Pride of Madeira,Shrub (evergreen),Spring;Summer;Fall,7-12 ft,Sun,Sand;Loam,Low,Garden,,,,,,100,350,500,800
231,Grevillea spp.,Grevillea,Shrub (evergreen),,1-3 ft,Sun;Part shade,,Low,Garden,,,,,,100,350,,
232,Phoenix dactylifera,Date Palm,Tree (evergreen),,> 24 ft,,,Low,Sidewalk,Needs a large basin and wide sidewalk.,,,,,100,350,,
233,Pinus contorta var. contorta,Shore Pine,Tree (evergreen),Spring,> 24 ft,Sun,Loam,Moderate,Garden,,,,,,350,600,500,800
234,Pinus muricata,Bishop Pine,Tree (evergreen) ,Spring,> 24 ft,Sun;Part Shade,Loam,Moderate,Garden,,,,,,350,600,350,800
235,Rhamnus crocea,Redberry,Shrub (evergreen),Winter,1-3 ft,Sun;Part shade,Clay;Rock,Low,Garden,,,,,,100,350,,
236,Pistacia chinensis 'Keith Davey',Keith Davey Chinese Pistache,Tree (deciduous),,> 24 ft,Sun;Part Shade,,Low,Sidewalk,"Prefers heat, wind protection.",,,,,100,350,350,800
237,Pittosporum crassifolium,Seaside Pittosporum,Tree (evergreen),Spring,13-24 ft,Sun;Part Shade,,Low,Sidewalk,Tolerates wind and fog. Can leak sap from trunk.,,,,,100,350,350,800
238,Pittosporum undulatum,Victorian Box,Tree (evergreen),Spring;Summer,> 24 ft,Sun;Part Shade,,None,Sidewalk,"Can self-sow, take care when planting near natural areas.",,,,,0,0,350,800
239,Plantago elongata,Coastal Plantain,Annual,Spring,< 1 ft,Sun;Part Shade,Clay;Loam,Moderate,Garden,Attracts Common Buckeye (Junonia coenia) butterfly.,,,,,350,600,350,800
240,Plantago maritima,Seaside plantain,Perennial,Spring;Summer,< 1 ft,Sun;Part Shade,Clay;Loam;Sand,Low,Garden,Succulent that grows on cliff faces and likes salt wind. Attracts Common Buckeye (Junonia coenia) butterfly.,,,,,100,350,350,800
241,Platanus x acerifolia,London Plane Tree,Tree (deciduous),,> 24 ft,,,Low,Sidewalk,"Prefers wind protection, Susceptible to anthracnose and powdery mildew.",,,,,100,350,,
242,Pluchea odorata,Salt marsh fleabane,Perennial,Summer;Fall,1-3 ft,Sun;Part Shade,Clay;Loam;Sand,Moderate,Garden,,,,,,350,600,350,800
243,Podocarpus gracilior,Fern Pine,Tree (evergreen),,> 24 ft,,,Low,Sidewalk,"Better as a shrub, gets pests.",,,,,100,350,,
244,Polygonum paronychia,Beach/Dune Knotweed,Perennial,Spring;Summer,< 1 ft,Sun,Sand,None,Sidewalk;Garden,,,,,,0,0,500,800
245,Polypodium californicum,Polypody Fern,Fern,,1-3 ft,Part shade;Shade,Clay;Loam;Sand;Rock,Low,Sidewalk;Garden,,,,,,100,350,,
246,Clematis lasiantha,Pipestems; Chaparral clematis,Vine,Spring,13-24 ft,Sun;Part Shade,Clay;Loam,Low,Garden,,,,,,100,350,350,800
247,Polystichum munitum,Western Sword Fern,Fern,,1-3 ft,Part shade;Shade,Clay;Loam,Moderate,Garden;Roof,,,,,,350,600,,
248,Populus nigra 'Italica',Lombardy Poplar,Tree (deciduous),Winter,> 24 ft,Sun,Clay;Loam;Sand,Moderate,Garden,Attracts Lorquin's Admiral (Limenitis lorquini) butterfly.,,,,,350,600,500,800
249,Potentilla anserina ssp. pacifica,Silverweed,Perennial,Spring,< 1 ft,Sun;Part Shade,Clay;Loam;Sand,Moderate,Garden,,,,,,350,600,350,800
250,Prunella vulgaris var. lanceolata,Self Heal,Perennial,Summer,< 1 ft,Part Shade,Clay;Loam,Moderate,Garden;Roof,,,,,,350,600,100,350
251,Prunus cerasifera 'Krauter Vesuvius',Krauter Vesuvius Plum,Tree (deciduous),Spring,13-24 ft,Sun,,Low,Sidewalk;Garden,"Wind protection, susceptible to shot hole fungus.",,,,,100,350,500,800
252,Zeltnera venusta,Centaury,Annual,Spring;Summer;Fall,1-3 ft,Sun;Part Shade,Loam;Clay,None,Garden,,,,,,0,0,350,800
253,Prunus emarginata,Bitter cherry,Tree (deciduous),Spring,13-24 ft,Sun;Part Shade,Loam;Clay,Low,Garden,"Too cool of a climate to set fruit, but spreads vegetatively.  Get from SF sources. Attracts Lorquin's Admiral (Limenitis lorquini), Pale Swallowtail (Papilio eurymedon), Western Tiger Swallowtail (Papilio rutulus), Red Admiral (Vanessa atalanta).",,,,,100,350,350,800
254,Prunus ilicifolia,Holly Leaf Cherry/Islay Cherry,Tree (evergreen),Spring;Winter,13-24 ft,Sun;Part Shade,clay;loam,None,Garden,"Attracts Lorquin's Admiral (Limenitis lorquini), Pale Swallowtail (Papilio eurymedon), Western Tiger Swallowtail (Papilio rutulus), Cedar Waxwing, Western Tiger Swallowtail (Papilio rutulus), Anise Swallowtail (Papilio zelicaon).",,,,,0,0,350,800
255,Prunus serrulata 'Kwanzan',Kwansan Japanese Flowering Cherry,Tree (deciduous),Winter,13-24 ft,Sun,,Low,Sidewalk,Prefers wind protection .,,,,,100,350,500,800
256,Prunus subcordata,Sierra Plum,Tree (deciduous),Winter,13-24 ft,Sun;Part Shade,Clay;Loam;Sand,Low,Garden,"Attracts Lorquin's Admiral (Limenitis lorquini), Pale Swallowtail (Papilio eurymedon), Western Tiger Swallowtail (Papilio rutulus), Red Admiral (Vanessa atalanta).",,,,,100,350,350,800
257,Prunus virginiana var. demissa,Western Chokecherry,Tree (deciduous),Spring,13-24 ft,Sun;Part Shade,Clay;Loam,Low,Garden,"Attracts Lorquin's Admiral (Limenitis lorquini), Pale Swallowtail (Papilio eurymedon), Western Tiger Swallowtail (Papilio rutulus), Red Admiral (Vanessa atalanta).",,,,,100,350,350,800
258,Pseudotsuga menziesii,Douglas Fir,Tree (evergreen),Spring,> 24 ft,Sun;Part Shade,Clay;Loam;Sand;Rock,Low,Garden,Grow very large.,,,,,100,350,350,800
259,Pteridium aquilinum var. pubescens,Bracken Fern,Fern,,1-3 ft,Sun;Part Shade,Clay;Loam;Sand,Low,Garden;Roof,Grows everywhere – cosmopolitan fern.,,,,,100,350,350,800
260,Pyrus calleryana 'New Bradford',New Bradford Pear,Tree (deciduous),Spring,> 24 ft,Sun,Clay;Sand,Low,Sidewalk;Garden,"Needs wind protection, susceptible to fireblight.",,,,,100,350,500,800
261,Pyrus kawakamii,Evergreen Pear,Tree (evergreen),Spring,13-24 ft,Sun,,Low,Sidewalk;Garden,"Plant in only warmest areas of city, semi-evergreen, leaf spot/fungus likely to occur and may cause premature leaf drop, does not flower well in our climate, susceptible to fireblight.",,,,,100,350,500,800
262,Quercus agrifolia,Coast Live Oak,Tree (evergreen),Spring;Winter,> 24 ft,Sun;Part Shade,Clay;Loam;Sand;Rock,None,Sidewalk;Garden,"Recommended especially for large spaces. Attracts California Sister (Adelpha bredowii californica), Propertius Dusky-Wing (Erynnis propertius), Mournful Dusky-Wing (Erynnis tristis), Chestnut-Backed Chickadee, Scrub Jays",,,,,0,0,350,800
263,Quercus chrysolepis,Canyon Live Oak,Tree (evergreen),Spring,> 24 ft,Sun;Part Shade,Clay;Loam,None,Garden,"Attracts California Sister (Adelpha bredowii californica), Propertius Dusky-Wing (Erynnis propertius), Mournful Dusky-Wing (Erynnis tristis).",,,,,0,0,350,800
